Name,Category,State,Marker Type,Latitude,Longitude,Details,,,,,,,,,,,,,,,,,,,,
Tucson,City,Arizona,Dot,"32° 15' 36.5"" N","110° 59' 01.6"" W",,,,,,,,,,,,,,,,,,,,,
Valley of Fire State Park,State Park,Nevada,Dot,"36° 28' 33.0"" N","114° 32' 16.3"" W",,,,,,,,,,,,,,,,,,,,,
Waterton-Glacier International Peace,National Park (Canada),Montana,Dot,"49° 03' 12.2"" N","113° 54' 22.9"" W",,,,,,,,,,,,,,,,,,,,,
Wheeler Peak,Mountain,New Mexico,Triangle,"36° 33' 29.1"" N","105° 24' 48.2"" W","13,159 ft",,,,,,,,,,,,,,,,,,,,
White Sands,National Park,New Mexico,Dot,"32° 47' 40.7"" N","106° 17' 57.1"" W",,,,,,,,,,,,,,,,,,,,,
Wind River Range,Mountain Range,Wyoming,Dot,"43° 11' 02.6"" N","109° 39' 03.5"" W",,,,,,,,,,,,,,,,,,,,,
Wrangell-St Elias,National Park & Preserve,Alaska,Dot,"61° 07' 36.8"" N","142° 40' 57.7"" W",,,,,,,,,,,,,,,,,,,,,
Yellowstone,National Park,Wyoming,Dot,"44° 37' 28.5"" N","110° 26' 01.0"" W",,,,,,,,,,,,,,,,,,,,,
Yosemite,National Park,California,Dot,"37°52'36.5""N","119° 28' 39.1"" W",,,,,,,,,,,,,,,,,,,,,
Yukon River,River,Alaska,None,"65° 21' 43.3"" N","149° 06' 26.4"" W","1,982 miles",,,,,,,,,,,,,,,,,,,,
Zion,National Park,Utah,Dot,"37° 18' 40.2"" N","112° 58' 55.5"" W",,,,,,,,,,,,,,,,,,,,,
